date,day_of_week,start_time,end_time,location,speaker,affiliation,theme,track_x,recommended,time_for_row,orig_time_if_moved,is_moderator,has_room_conflict,is_general_event
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Falmouth,Jonathan McCormick,Gateway Seminary,"The Baptist Faith and Message, 1925, in its Organizational Context",Baptist Studies Group,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Falmouth,Chris Chun,Gateway Seminary,The New Hampshire Confession of Faith and Andrew Fuller,Baptist Studies Group,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Falmouth,Marvin Jones,Montana Christian College,Baptist Faith and Messages: An Assessment,Baptist Studies Group,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Sheraton - Second Floor: Back Bay Ballroom C,Timothy Miller,Shepherds Theological Seminary,Moderator,General Epistles,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Sheraton - Second Floor: Back Bay Ballroom C,Paul Himes,Baptist College of Ministry,"The Rock, the Cornerstone, and the Empowering Spirit: Tracing Peter's Pneumatology",General Epistles,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Sheraton - Second Floor: Back Bay Ballroom C,Herb Bateman,Independent Scholar,Is a Systematic Theological Understanding about the Holy Spirit imposed on Hebrews?,General Epistles,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Sheraton - Second Floor: Back Bay Ballroom C,Adam Harwood,New Orleans Baptist Theological Seminary,The Relation of the Unpardonable Sin of the Gospels and Hebrews 6,General Epistles,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Sheraton - Second Floor: Back Bay Ballroom C,Dana Harris,Trinity Evangelical Divinity School,"",General Epistles,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Third Floor: Suﬀolk,W. Edward Glenny,University of Northwestern St. Paul,Moderator,Hermeneutics,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Third Floor: Suﬀolk,Kendra Bailey,Wheaton College,Aﬀect Theory & Scripture: Toward an Embodied Hermeneutic,Hermeneutics,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Third Floor: Suﬀolk,Thomas J. Sculthorpe,Kenwood Institute,Mimetic Christian Hermeneutics: A Once-for-all Rejection of the Fourfold Sense,Hermeneutics,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Third Floor: Suﬀolk,Steve Sherman,Grand Canyon University,Creedal Christianity Hermeneutics: From Nicaea to Now,Hermeneutics,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Third Floor: Suﬀolk,Ray Umphrey,University of the Cumberlands,Can AI Detect Intertextuality? Evaluating the Use of Large Language Models in Biblical Studies,Hermeneutics,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon D,Mark Kelley,Compass Bible Institute,Moderator,Johannine Literature,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Grand Ballroom Salon D,Alan E. Kurschner,Independent Scholar,Stanley E. Porter (McMaster Divinity College) The History and Current Status of Greek Linguistics and the Book of Revelation,Johannine Literature,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Grand Ballroom Salon D,Donald Westblade,Hillsdale College,Paired Pericopes in Parallel Halves of the Fourth Gospel,Johannine Literature,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Grand Ballroom Salon D,Joshua Coutts,,"Tuesday, November 18th (Providence Theological Seminary) Apprehending Jesus: Embodiment and the Problem of Jesus’ Absence in John’s Gospel",Johannine Literature,,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon D,James A. Roh,McLean Bible Church,Seeing Him as He Is: 1 John 3:2 and the Beatiﬁc Vision,Johannine Literature,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - First Floor: Tremont,Aaron W. White,"First Presbyterian Church, South Charleston, Ohio",Moderator,Luke-Acts,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - First Floor: Tremont,Dottie Rhoads,Liberty University,Luke 1-2: Jesus’ Birth and the Undoing of Israel’s Exile,Luke-Acts,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - First Floor: Tremont,Aaron Jung,McMaster Divinity College,The Core Message of Speeches in Acts,Luke-Acts,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - First Floor: Tremont,Samuel Hitchcock,"Trinity College, Bristol",From Fulﬁllment to Frustration: Making Sense of Jesus' Response to the Crowd in Luke 4:16-30,Luke-Acts,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - First Floor: Tremont,Sung Min Park,McMaster Divinity College,Shaping Christian Identity in Acts 1-6: An Indexical Cycle Analysis of the Jerusalem Church,Luke-Acts,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Third Floor: Wellesley,Nathan Olson,Free Lutheran Bible College and Seminary,Moderator,Lutheran Studies,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:30 AM,Copley Place - Third Floor: Wellesley,Joel Elowsky,Concordia Seminary St. Louis,Nicaea to Luther,Lutheran Studies,False,9:00 AM,,False,False,
November 18th,Tuesday,9:40 AM,10:10 AM,Copley Place - Third Floor: Wellesley,Brian Vickers,The Southern Baptist Theological Seminary,"“Everything a Christian Needs to Know”: Luther’s Theology in the Shorter Catechism",Lutheran Studies,False,9:50 AM,9:40 AM,False,False,
November 18th,Tuesday,10:20 AM,10:50 AM,Copley Place - Third Floor: Wellesley,Jason Gudim,Free Lutheran Bible College & Seminary,Lutheran Catechesis and the Christian Life,Lutheran Studies,False,10:40 AM,10:20 AM,False,False,
November 18th,Tuesday,11:00 AM,11:30 AM,Copley Place - Third Floor: Wellesley,Phillip Hooper*,Georg Sverdrup Society,Why a Minimal Confession Applied is Better than a Maximal Confession Ignored,Lutheran Studies,,10:40 AM,11:00 AM,False,False,
November 18th,Tuesday,11:40 AM,12:10 PM,Copley Place - Third Floor: Wellesley,Steve Mundfrom,Free Lutheran Bible College & Seminary,The Creed - The Confession of the Local Congregation,Lutheran Studies,False,11:30 AM,11:40 AM,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Third Floor: Regis,Shoa Kai Tseng,,Moderator,Method in Systematic Theology,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Third Floor: Regis,Aaron Batdorf,Big Woods Bible Church,Soul Competency & E.Y. Mullins,Method in Systematic Theology,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Third Floor: Regis,Jeﬀ M. Liou,InterVarsity Christian Fellowship,A Three Dimensional Theological Method for Ministerial Formation,Method in Systematic Theology,,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Third Floor: Regis,Andrew Knox Brown,SBTS,Christian Platonism or Christian Panentheism? A Critique of Hans Boersma’s Sacramental Ontology,Method in Systematic Theology,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Third Floor: Regis,Nate Claiborne,Dallas Theological Seminary,"They're Only Chasing Safety: Experience, Emotion, and the Quest for Certainty in Modern Theology",Method in Systematic Theology,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Brandon Crowe,Westminster Theological Seminary,Moderator,New Testament Christology,False,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Brandon Crowe,Westminster Theological Seminary,The Unity of the Gospels and the Unity of Christ: Methodological Reﬂections,New Testament Christology,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Murray Smith,"Christ College, Sydney",Jesus’s Own Christology: A Chalcedonian Proposal in Conversation with Recent Jesus Research,New Testament Christology,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Bobby Jamieson,Trinity Baptist Church,Seeing Is Being: Sight's Reduction to Eternal Generation in the Gospel of John,New Testament Christology,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon B,Stephen Wellum,The Southern Baptist Theological Seminary,Spirit Christology and the Divine Works of the Incarnate Son in the Gospels,New Testament Christology,True,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Sheraton - Second Floor: Back Bay Ballroom A,Michael Grisanti,The Master's Seminary,Moderator,Old Testament Narrative Literature,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Sheraton - Second Floor: Back Bay Ballroom A,Daniel Block,Wheaton College,Will the Real Gideon Please Sit Down? Relistening to Judges 6-9 with the Hearing Devices Provide,Old Testament Narrative Literature,True,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Sheraton - Second Floor: Back Bay Ballroom A,Jillian L. Ross,Liberty Theological Seminary,From Cowardly to Courageous: Gideon’s Complex Characterization (Judges 7),Old Testament Narrative Literature,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Sheraton - Second Floor: Back Bay Ballroom A,Allen Hamlin Jr,Trinity College Bristol,Bringing Foreignness Home: Clothing and the Closing Characterization of Gideon in Judges 8:21-28,Old Testament Narrative Literature,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Sheraton - Second Floor: Back Bay Ballroom A,"Robert B. Chisholm, Jr.",Dallas Theological Seminary,Rock Bottom Has a Basement Named Abimelech: The Role of Judges 9 in the Gideon Story,Old Testament Narrative Literature,,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Third Floor: Brandeis,Andrew M. King,Midwestern Baptist Theological Seminary,Married with Children: Adoption in Hosea’s Initial Sign Act,Old Testament Prophetic and Apocalyptic Books,False,9:00 AM,,False,True,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Third Floor: Brandeis,Eric J. Tully,Trinity Evangelical Divinity School,Metaphors for the Remnant in the Literary Prophets,Old Testament Prophetic and Apocalyptic Books,False,9:50 AM,,False,True,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Third Floor: Brandeis,John J. Baker,Southern Seminary/Seminario Bíblico Salmo,Using Jeremiah to Vindicate Ezekiel: Reframing Prophetic Validation in Deut 18,Old Testament Prophetic and Apocalyptic Books,False,10:40 AM,,False,True,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Third Floor: Brandeis,Justin Anderson,The Southern Baptist Theological Seminary,Highway to Zion: Linguistic and Thematic Parallelism between Isaiah 1-5 and Isaiah 34-35,Old Testament Prophetic and Apocalyptic Books,False,11:30 AM,,False,True,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Vineyard,John W. Taylor,Gateway Seminary,Moderator,Pauline Studies,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Vineyard,Trevor J. Hodges,Regent University,From Roman Unity to the “Unity of the Spirit:” A Socio-Rhetorical Reading of Ephesians 4:3,Pauline Studies,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Vineyard,Joseph Brennan,Mississippi State University,"Artemis, Eve, and the Image of God: A Case of Mistaken Identity in Paul's Ephesian Marriage Code",Pauline Studies,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Vineyard,Matthew Monkemeier,Moody Bible Institute,Male and Female “In the Lord”? Cosmology and Christology in 1 Corinthians 11:11-12,Pauline Studies,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Vineyard,Dave Pederson,Wheaton College,It’s not about the ‘I’: A Divisive Worship Lament and Paul’s Solution in Romans 7:14-25,Pauline Studies,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Provincetown,Matthew J. Bekken,The Southern Baptist Theological Seminary,Θεόπνευστος as “Life-Giving” in 2 Tim 3:16? A Survey of the Background Imagery of Divine Breath,,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Provincetown,Murray Vasser,Wesley Biblical Seminary,Inerrant in the Autographs: The Case for Restricting Flexible Inerrancy to the Autographs,,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Provincetown,Casey Evans,New Orleans Baptist Theological Seminary,Analogous Actions: A Modiﬁed Analogy between Inspiration and the Instrumentum Divinitatis,,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Provincetown,Eunice Momah,"Fuller Theological Seminary, Pasadena",Postcolonial Studies and the Bible: A Methodological Reassessment,,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon J,Katherine Davis,Sydney Missionary & Bible College,Moderator,Torah Session,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Grand Ballroom Salon J,David Firth,Trinity College Bristol / UFS,Moses as Priest,Torah Session,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Grand Ballroom Salon J,Kevin Chen,Gateway Seminary,Moses as Singer and Poet,Torah Session,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Grand Ballroom Salon J,TBD,,,Torah Session,,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon J,Panel Discussion,,,Torah Session,,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fifth Floor: Massachusetts,Adam Lloyd Johnson,Convincing Proof Ministries,First Good Argument: Wielenberg's Claim that Theistic Moral Theories Include Ungrounded Truths,,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fifth Floor: Massachusetts,TBD,,,,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fifth Floor: Massachusetts,Chris D. Lee,Southeastern Baptist Theological Seminary,An Aristotelian Organicist Account of the Intersex Condition,,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fifth Floor: Massachusetts,Paul Rezkalla,United States Air Force Academy,There Are No Masculine or Feminine Virtues,,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Nantucket,Dolores Morris,University of South Florida,Moderator,Evangelical Philosophical Society,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Nantucket,Daniel Lightsey,University of Notre Dame,"If Proper Functionalism is True, Then God is Omni-Ignorant",Evangelical Philosophical Society,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Nantucket,Kegan Shaw,Anderson University,Faith's Conclusive Reasons,Evangelical Philosophical Society,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Nantucket,Travis Dickinson,Dallas Baptist University,"Assurance, Doubt, and the Knowledge of God",Evangelical Philosophical Society,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Nantucket,Parker Settecase,Palm Beach Atlantic University,"Knowing Our Deceivers Immediately and Interpersonally: In Defense of Interpersonal Knowledge",Evangelical Philosophical Society,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Sheraton - Third Floor: Commonwealth,Phil Kallberg,Free Thinking Ministries,Moderator,Evangelical Philosophical Society,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Sheraton - Third Floor: Commonwealth,Marcus R. Ross,Liberty University,"Models, Timelines, and Unfalsiﬁability: A Scientiﬁc Appraisal of the Recent GAE Hypothesis",Evangelical Philosophical Society,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Sheraton - Third Floor: Commonwealth,Clint Parker,East Carolina University,Medical Professional Obligations and the Christian Physician,Evangelical Philosophical Society,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Sheraton - Third Floor: Commonwealth,Panel Discussion,,John Peckham (Andrews University) RT Mullins (University of Lucerne/University of Helsinki) Kimberley Kroll (Trinity Evangelical Divinity School) Tyler McNabb (St. Francis University) Elijah Hess (St. Louis Community College),Evangelical Philosophical Society,True,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Sheraton - Third Floor: Commonwealth,Q&A,,,Evangelical Philosophical Society,,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - First Floor: Boylston,Gary D. Urie,Veritas International University,Moderator,Near East Archaeological Society,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - First Floor: Boylston,Mark A. Hassler,,"(Independent Researcher) Exegeting Proverbs: Insights from Archaeology",Near East Archaeological Society,,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - First Floor: Boylston,Frankie Snyder,Independent Researcher,Gammadia: From Jewish Shawls to Byzantine Mosaics,Near East Archaeological Society,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - First Floor: Boylston,Chet Roden,Liberty University,"Constantine, Helena, and Creed: Factors Driving Early Byzantine Pilgrimage and Sacred Construction",Near East Archaeological Society,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - First Floor: Boylston,Douglas Petrovich,Brookes Bible College,Dating the Construction of David’s Dynastic Palace,Near East Archaeological Society,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Yarmouth,Kirk R. MacGregor,McPherson College,Moderator,Creedal Christianity,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Yarmouth,Paul Hartog,Faith Baptist Theological Seminary,Also on the Agenda: The (Overlooked) Quartodeciman Challenge and the Council of Nicea,Creedal Christianity,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Yarmouth,Kevin W. Wong,Dallas Theological Seminary,An Analytic Theological Defense of the Filioque,Creedal Christianity,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Yarmouth,Brian Wagers,The Southern Baptist Theological Seminary,Critiquing Protestant Use of the Filioque in the Nicene Creed,Creedal Christianity,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Yarmouth,Richard A. Brumback III,Freed-Hardeman University,Regulating the “X from X” Language at the Heart of the Nicene Disputes,Creedal Christianity,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Sheraton - Second Floor: Back Bay Ballroom D,Steven M. Bryan,Trinity Evangelical Divinity School,The Filial and Messianic Identity of the Logos Before the Incarnation in the Gospel of John,Creedal Christianity,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Sheraton - Second Floor: Back Bay Ballroom D,Denny Burk,The Southern Baptist Theological Seminary,Imprecision in the ESV’s Rendering of μονογενής: Retrieving the Nicene Interpretation of John,Creedal Christianity,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Sheraton - Second Floor: Back Bay Ballroom D,Charles Lee Irons,Santa Clarita United Reformed Church,Μονογενής and the Scriptural Logic of Eternal Generation in the Nicene Creed,Creedal Christianity,True,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Sheraton - Second Floor: Back Bay Ballroom D,Kamy Hanna,University of Glasgow,Jesus the Divine Judge: Rethinking the Inﬂuence of the Similitudes of Enoch,Creedal Christianity,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Grand Ballroom Salon H,Samad Hashmi,Midwestern Baptist Theological Seminary,A Philosophical Critique of Tawhīd: How Nicene Trinitarianism Solves Perennial Muslim Conundrums,Creedal Christianity,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Grand Ballroom Salon H,Morgan Renew,Redeemer Dubai / Gulf Theological Seminary,Creeds and Co-Intelligence: A Theological Framework for the Use of AI in Christian Ministry,Creedal Christianity,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Grand Ballroom Salon H,Keith Graham,CCCVaT Scholar in Residence,I Believe in the Forgiveness of Sin: Practicing Forgiveness Individually and Communally,Creedal Christianity,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon H,John Eger,Columbia International University,How Ad Hoc Immediacy in the Language of Christian Belief Requires Creedal Continuity,Creedal Christianity,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Sheraton - Second Floor: Back Bay Ballroom B,Seung-Joo Lee,"Presbyterian Theological College, Melbourne, Australia",Meredith G. Kline's Revision of Nicene Trinitarianism,Creedal Christianity,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Sheraton - Second Floor: Back Bay Ballroom B,Robert Herron,Regent University,"Sabellianism, Trinity, Tritheism: Reﬂections on the Creeds from a Former Oneness Pentecostal",Creedal Christianity,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Sheraton - Second Floor: Back Bay Ballroom B,Eric B Oldenburg,Melbourne School of Theology,On Keeping Nicaea Ecumenical: Questioning Certain Methods in IVP’s “On Classical Trinitarianism”,Creedal Christianity,,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Sheraton - Second Floor: Back Bay Ballroom B,Vern S. Poythress,Westminster Theological Seminary,Calvin's View of Autotheos and a Metaphysics Appropriate for the Trinity,Creedal Christianity,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon K,C.J. Moore,Midwestern Baptist Theological Seminary,Moderator,Church History,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Grand Ballroom Salon K,Mátyás Bódi,University of Oxford,Christianity in Somalia: An Historical Analysis of Foreign and Indigenous Missions,Church History,,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Grand Ballroom Salon K,Gordon L. Heath,McMaster Divinity College,"Sojourners and Citizens: National Identity in the African Baptist Association, 1855-1914",Church History,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Grand Ballroom Salon K,Terry Michael Wise,The Southern Baptist Theological Seminary,Southern Slavery-Providentially Permissible and Pastorally Pursued,Church History,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Grand Ballroom Salon K,Dudley Brown,Journal of Post-Christendom Studies,"The Underground Railroad and its Intersection with the Black Baptist Church ",Church History,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Orleans,KJ Drake,Covenant Theological Seminary,Christ’s Exaltation in Reformed Orthodoxy,Church History,False,9:00 AM,,False,False,
November 18th,Tuesday,9:50 AM,10:30 AM,Copley Place - Fourth Floor: Orleans,Eunice J. Chung,Liberty University,The Triumph of the Protestant Reformation as Proclaimed through Hans Holbein’s The Ambassadors,Church History,False,9:50 AM,,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Orleans,Arthur Rankin,"New College, Edinburgh",Christ the Fulﬁller of the Covenant: Christology and Covenant in Calvin’s Hebrews Commentary,Church History,False,10:40 AM,,False,False,
November 18th,Tuesday,11:30 AM,12:10 PM,Copley Place - Fourth Floor: Orleans,Matthew David Visk,University of Cambridge,The Catholic Calvin: Christ's Satisfaction in John Calvin's Theology,Church History,False,11:30 AM,,False,False,
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Third Floor: Harvard,Chris S. Stevens,RTS Jackson,Moderator,New Testament,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Third Floor: Harvard,Jared August,Word of Life Bible Institute NY,Is It Written to Fulﬁll? A Comparative Analysis of New Testament Passages Using πληρόω,New Testament,False,9:00 AM,,False,False,
